test,method,n_pairs,mean_method,mean_random,mean_diff,t_stat,p_val,p_adj,reject,cohen_d,noise
test,aligns,100,71.65455910636848,71.70423615820185,-0.04967705183335212,-0.1765657841292223,0.569894913762963,1.0,False,-0.01765657841292223,0.0
test,grad01_avg,100,71.22863801982581,71.70423615820185,-0.475598138376043,-1.8317744613784048,0.965004078836663,1.0,False,-0.18317744613784048,0.0
test,grad01_max,100,71.29184559803194,71.70423615820185,-0.412390560169916,-1.6314261513113884,0.9470111793545679,1.0,False,-0.16314261513113884,0.0
test,gradient_conf_avg,100,71.67819690011466,71.70423615820185,-0.02603925808720966,-0.1006322774926374,0.5399770552147556,1.0,False,-0.010063227749263739,0.0
test,gradient_conf_max,100,71.51118382716216,71.70423615820185,-0.19305233103969058,-0.7038040819400028,0.7583965569090543,1.0,False,-0.07038040819400028,0.0
test,gradient_input_avg,100,71.35987713177437,71.70423615820185,-0.3443590264274893,-1.281467878740141,0.8984886440191939,1.0,False,-0.1281467878740141,0.0
test,gradient_input_max,100,71.50273896223479,71.70423615820185,-0.20149719596707968,-0.7971183013924332,0.7863550268170081,1.0,False,-0.07971183013924332,0.0
test,hamming_max,100,71.6277571087941,71.70423615820185,-0.07647904940775717,-0.2848283041543528,0.6118146697204094,1.0,False,-0.028482830415435277,0.0
test,hamming_min,100,71.21918043474152,71.70423615820185,-0.48505572346035736,-1.692677748666103,0.9531691539906166,1.0,False,-0.16926777486661032,0.0
test,model_grad_avg,100,71.28063018420582,71.70423615820185,-0.4236059739960371,-1.662217025039296,0.9501837395232064,1.0,False,-0.16622170250392962,0.0
test,model_grad_max,100,71.17323270886433,71.70423615820185,-0.5310034493375194,-2.217895035297525,0.9855760474221362,1.0,False,-0.22178950352975252,0.0
test,qbc,100,72.0761247107878,71.70423615820185,0.37188855258593617,1.757698962881952,0.04094485921560034,0.5732280290184049,False,0.1757698962881952,0.0
test,threshold_avg,100,72.33095494318675,71.70423615820185,0.6267187849849088,2.254483519323044,0.013184504814372349,0.18458306740121289,False,0.22544835193230447,0.0
test,threshold_max,100,72.39719402428254,71.70423615820185,0.6929578660807095,2.7773331719015104,0.0032782009779775273,0.04589481369168538,True,0.27773331719015104,0.0
testAB,aligns,100,75.29111785232166,75.41337801058377,-0.12226015826208751,-0.7678479605400215,0.7777974445255428,1.0,False,-0.07678479605400215,0.0
testAB,grad01_avg,100,74.57341339285362,75.41337801058377,-0.83996461773013,-5.68821498304421,0.9999999347395438,1.0,False,-0.568821498304421,0.0
testAB,grad01_max,100,74.46154839335713,75.41337801058377,-0.951829617226636,-6.293415808995667,0.9999999957400758,1.0,False,-0.6293415808995667,0.0
testAB,gradient_conf_avg,100,74.81957814465937,75.41337801058377,-0.5937998659243915,-4.147145730846663,0.9999644111180954,1.0,False,-0.4147145730846663,0.0
testAB,gradient_conf_max,100,74.43022031695388,75.41337801058377,-0.983157693629878,-5.7875790897427395,0.999999957967279,1.0,False,-0.5787579089742739,0.0
