test	method	n_pairs	mean_method	mean_random	mean_diff	t_stat	p_val	p_adj	reject	ci_lower_rel_pct	ci_upper_rel_pct	mean_diff_rel_pct
test	feature_eucl	500	66.50017532503122	66.54186439006372	-0.04168906503251157	-0.2855113238097784	0.6123145484880079	1.0	False	-0.4937792446454149	0.36847748036621397	-0.06265088213960043
test	grad01_avg	500	66.66590477745439	66.54186439006372	0.12404038739066608	0.8338731017522031	0.20237574019814203	1.0	False	-0.2527991455326834	0.6256182377767783	0.1864095461220474
test	grad01_max	500	66.34409840701724	66.54186439006372	-0.19776598304648496	-1.2745379982436142	0.8984669969906754	1.0	False	-0.7553541829732302	0.1609434766930614	-0.2972053531400844
test	gradient_conf_avg	500	66.59302814457062	66.54186439006372	0.05116375450688996	0.34124442703780966	0.3665316105446766	1.0	False	-0.36580542740273253	0.519584570731124	0.07688957166419569
test	gradient_conf_max	500	66.58114399019912	66.54186439006372	0.03927960013540458	0.26523010091098204	0.39547086932449477	1.0	False	-0.3782424518985134	0.4963022643051822	0.05902990620333439
test	gradient_input_avg	500	66.25768116164136	66.54186439006372	-0.28418322842234783	-1.7870622573880808	0.9627328570055887	1.0	False	-0.8966077912842322	0.042459110518434026	-0.42707434038289904
test	gradient_input_max	500	66.65263307483842	66.54186439006372	0.11076868477469301	0.7360489171220719	0.23102339033169655	1.0	False	-0.27787809483378567	0.6108074041942051	0.1664646546802097
test	model_grad_avg	500	66.34298219198628	66.54186439006372	-0.19888219807744686	-1.3082380500047235	0.9043025679852039	1.0	False	-0.747749024183085	0.14998339227468685	-0.2988828159541991
test	model_grad_max	500	66.72208944106056	66.54186439006372	0.18022505099684769	1.1616754315642117	0.12296133925221545	1.0	False	-0.18723201679939686	0.7289212304961491	0.27084460684837613
test	qbc	500	67.1261166305265	66.54186439006372	0.5842522404627609	4.505161425682656	4.134347054624022e-06	4.9612164655488265e-05	True	0.4951110797204239	1.2609330161826167	0.8780220479515204
test	threshold_avg	500	67.65000610681498	66.54186439006372	1.1081417167512708	7.127536044558629	1.8002266309841315e-12	2.1602719571809576e-11	True	1.206276253365065	2.1243840066343305	1.6653301299996977
test	threshold_max	500	67.48666688167889	66.54186439006372	0.9448024916151752	6.100634371580553	1.0603904066437015e-09	1.2724684879724417e-08	True	0.9625906089069689	1.877132925368565	1.419861767137767
testAB	feature_eucl	500	70.88032178749386	71.21304362082238	-0.33272183332850075	-3.497683086611153	0.9997443709502339	1.0	False	-0.729668817699894	-0.20477188701171975	-0.4672203523558069
testAB	grad01_avg	500	70.8146122870978	71.21304362082238	-0.39843133372455825	-4.099463997845831	0.9999758322571582	1.0	False	-0.8276370105028691	-0.2913471347220619	-0.5594920726124655
testAB	grad01_max	500	70.56979740953152	71.21304362082238	-0.6432462112908286	-6.334539216094993	0.9999999997340051	1.0	False	-1.183429744844708	-0.6231106825405535	-0.9032702136926307
testAB	gradient_conf_avg	500	70.74276859997053	71.21304362082238	-0.47027502085180933	-4.816810147481264	0.9999990311257252	1.0	False	-0.9297391794797636	-0.39101611180033846	-0.660377645640051
testAB	gradient_conf_max	500	70.64191675680186	71.21304362082238	-0.5711268640204998	-5.9699195074687985	0.9999999977453373	1.0	False	-1.065938821531281	-0.538056275382411	-0.801997548456846
testAB	gradient_input_avg	500	70.64010951854932	71.21304362082238	-0.5729341022730208	-5.644829737479901	0.9999999861142833	1.0	False	-1.08456047776324	-0.5245102012647165	-0.8045353395139784
testAB	gradient_input_max	500	70.99737982182043	71.21304362082238	-0.21566379900192753	-2.282612639628637	0.9885634696158475	1.0	False	-0.563511418975748	-0.04217480937938557	-0.30284311417756676
testAB	model_grad_avg	500	70.48781918805759	71.21304362082238	-0.7252244327647629	-7.347181745264964	0.999999999999584	1.0	False	-1.290716669897613	-0.7460574823946522	-1.0183870761461324
testAB	model_grad_max	500	70.90521358190072	71.21304362082238	-0.30783003892163446	-3.036969616956657	0.9987426342518768	1.0	False	-0.7119156754152788	-0.15261706541431372	-0.4322663704147962
testAB	qbc	500	71.93522823931447	71.21304362082238	0.7221846184921152	8.67178617148856	3.001480705013742e-17	3.601776846016491e-16	True	0.7843539880420234	1.2438829241097042	1.0141184560758636
testAB	threshold_avg	500	72.08273273180566	71.21304362082238	0.86968911098331	8.647287938598497	3.618005102405368e-17	4.341606122886441e-16	True	0.9437725394791199	1.4987269430988632	1.2212497412889916
testAB	threshold_max	500	71.97917907884	71.21304362082238	0.7661354580176517	7.659355937417268	4.890296398594851e-14	5.868355678313821e-13	True	0.7998692683825884	1.3518024452910484	1.0758358568368185
testAG	feature_eucl	500	71.69134651958207	72.2418716027353	-0.5505250831532513	-4.308373522023945	0.9999900924022601	1.0	False	-1.1095763373718492	-0.414539998319561	-0.762058167845705
testAG	grad01_avg	500	71.98933658909975	72.2418716027353	-0.25253501363558145	-1.9514442269940298	0.9742183299952885	1.0	False	-0.7015173329255336	0.002379816045310218	-0.3495687584401117
testAG	grad01_max	500	71.69661599129282	72.2418716027353	-0.545255611442501	-4.038828259414124	0.9999689113879944	1.0	False	-1.1219266232379814	-0.3876012983001308	-0.7547639607690562
testAG	gradient_conf_avg	500	71.81486935508374	72.2418716027353	-0.4270022476515749	-3.215793703819602	0.9993074000596667	1.0	False	-0.9521965546207662	-0.22994958356263945	-0.5910730690917029
testAG	gradient_conf_max	500	71.85576946556743	72.2418716027353	-0.38610213716789404	-2.9922928981382815	0.998546993696868	1.0	False	-0.8853805690121329	-0.18353453133605632	-0.5344575501740947
testAG	gradient_input_avg	500	71.78947703246781	72.2418716027353	-0.4523945702675129	-3.2872364128075766	0.9994584692221424	1.0	False	-1.0005051894459849	-0.25193902394669193	-0.6262221066963385
testAG	gradient_input_max	500	72.22631414914774	72.2418716027353	-0.015557453587576887	-0.11881504210277996	0.5472651469261689	1.0	False	-0.3776425012218265	0.3345720401653114	-0.02153523052825757
testAG	model_grad_avg	500	71.78286471679179	72.2418716027353	-0.45900688594352174	-3.4832353252125112	0.9997305192056357	1.0	False	-0.9937603891556596	-0.2769898717668226	-0.6353751304612412
testAG	model_grad_max	500	72.20096877764	72.2418716027353	-0.040902825095321234	-0.304922539890471	0.6197238570943919	1.0	False	-0.42143834457016704	0.3081997913935561	-0.05661927658830551
testAG	qbc	500	72.8448761072427	72.2418716027353	0.6030045045073797	5.330519844566037	7.430644218137365e-08	8.916773061764838e-07	True	0.527046674329771	1.1423577614339007	0.8347022178818359
testAG	threshold_avg	500	73.07967505897413	72.2418716027353	0.8378034562388088	6.1297659616580455	8.946748982905672e-10	1.0736098779486807e-08	True	0.7880033877161935	1.531436675647522	1.1597200316818577
testAG	threshold_max	500	72.9776333837242	72.2418716027353	0.735761780988881	5.462937560372072	3.7012397530916895e-08	4.4414877037100276e-07	True	0.6521802588181157	1.3847597170310784	1.0184699879245969
