test	method	n_pairs	mean_method	mean_random	mean_diff	t_stat	p_val	p_adj	reject	ci_lower_rel_pct	ci_upper_rel_pct	mean_diff_rel_pct
test	feature_eucl	500	64.26865874874068	64.75257300602887	-0.4839142572882057	-2.93748263613515	0.9982690565115048	1.0	False	-1.2471772220667823	-0.2474792365828231	-0.7473282293248027
test	grad01_avg	500	64.57949724316	64.75257300602887	-0.17307576286886614	-1.130761767876658	0.8706507234313101	1.0	False	-0.7317077856489446	0.19713207742881964	-0.2672878541100625
test	grad01_max	500	64.30051185271125	64.75257300602887	-0.4520611533176181	-2.9480625256259163	0.9983262185752695	1.0	False	-1.163407443291596	-0.2328649589665457	-0.6981362011290707
test	gradient_conf_avg	500	64.61177513493018	64.75257300602887	-0.14079787109868622	-0.9336452486988422	0.8245307683274076	1.0	False	-0.6750123016043584	0.24013268350616462	-0.21743980904909685
test	gradient_conf_max	500	64.64498210219315	64.75257300602887	-0.10759090383572396	-0.7164997636203969	0.7629909964331666	1.0	False	-0.6217795114813062	0.289465600725338	-0.1661569553779841
test	gradient_input_avg	500	64.28487352572532	64.75257300602887	-0.46769948030356523	-3.0252306800233457	0.9986937162940831	1.0	False	-1.1913748599509213	-0.25319933561044883	-0.7222870977806851
test	gradient_input_max	500	64.51933620410813	64.75257300602887	-0.23323680192074386	-1.442657699928719	0.9251278468172608	1.0	False	-0.8507426845228708	0.13034875701352527	-0.3601969637546728
test	model_grad_avg	500	64.19254499484816	64.75257300602887	-0.5600280111806997	-3.659227859272323	0.999860043729292	1.0	False	-1.3292457386203524	-0.40050177621139815	-0.8648737574158754
test	model_grad_max	500	64.70025838561632	64.75257300602887	-0.05231462041254278	-0.3379664693504203	0.6322347042104086	1.0	False	-0.5504641166917602	0.3888809764892174	-0.08079157010127143
test	qbc	500	65.02653277937081	64.75257300602887	0.2739597733419465	2.074701609952976	0.019263094268239845	0.23115713121887815	False	0.022426273391339596	0.8237478958310606	0.4230870846112001
test	threshold_avg	500	65.51539963843292	64.75257300602887	0.7628266324040398	4.862511958350332	7.778409081548077e-07	9.334090897857692e-06	True	0.7020595153283795	1.6540681163350477	1.1780638158317136
test	threshold_max	500	65.48661195090119	64.75257300602887	0.7340389448723189	4.729924088243888	1.463878307284629e-06	1.7566539687415547e-05	True	0.6627254012564042	1.6044862655416867	1.1336058333990455
testAB	feature_eucl	500	69.0306763726082	69.66428382734746	-0.6336074547392523	-5.891015466459747	0.9999999964679039	1.0	False	-1.2128506028055985	-0.6061803838892589	-0.9095154933474286
testAB	grad01_avg	500	69.15178520660618	69.66428382734746	-0.512498620741291	-5.275372597894866	0.9999999010859865	1.0	False	-1.0096574845431516	-0.4616807467130324	-0.7356691156280921
testAB	grad01_max	500	68.92532371261085	69.66428382734746	-0.7389601147366202	-7.834650582717852	0.9999999999999858	1.0	False	-1.3267521100658028	-0.7947370494812117	-1.0607445797735073
testAB	gradient_conf_avg	500	69.10056124283727	69.66428382734746	-0.5637225845102032	-5.944623623932558	0.9999999973949739	1.0	False	-1.0766433300469478	-0.54175437259019	-0.8091988513185688
testAB	gradient_conf_max	500	68.9795770199617	69.66428382734746	-0.6847068073857813	-6.865601794657051	0.9999999999901301	1.0	False	-1.264133238124057	-0.701599472435991	-0.9828663552800241
testAB	gradient_input_avg	500	69.04103689053625	69.66428382734746	-0.6232469368112262	-6.358993669477192	0.99999999977037	1.0	False	-1.1710601579815965	-0.6182266976928286	-0.8946434278372125
testAB	gradient_input_max	500	69.23363915036805	69.66428382734746	-0.4306446769794062	-4.058311177757015	0.9999713179249944	1.0	False	-0.9174435481256876	-0.31889924711984974	-0.6181713976227687
testAB	model_grad_avg	500	68.78056666722567	69.66428382734746	-0.8837171601217901	-9.279007486683355	1.0	1.0	False	-1.537135880536154	-0.999937958655106	-1.26853691959563
testAB	model_grad_max	500	69.28757458385718	69.66428382734746	-0.3767092434902747	-3.7876754893587705	0.9999146989175759	1.0	False	-0.8212450833742132	-0.26025385063878087	-0.5407494670064971
testAB	qbc	500	70.174908473975	69.66428382734746	0.5106246466275424	6.188536258788004	6.337393088676826e-10	7.604871706412191e-09	True	0.5002737422063569	0.9656844750432438	0.7329791086248003
testAB	threshold_avg	500	70.20187906669818	69.66428382734746	0.5375952393507161	5.412152661263056	4.84350802233015e-08	5.81220962679618e-07	True	0.49155238533719153	1.051836019209005	0.7716942022730984
testAB	threshold_max	500	70.19624751407906	69.66428382734746	0.5319636867315906	5.2981958234989746	8.789697447091938e-08	1.0547636936510327e-06	True	0.48044081019135065	1.0467799046586956	0.7636103574250231
testAG	feature_eucl	500	69.283100656924	70.14580038563447	-0.862699728710453	-5.864418944597133	0.9999999958954413	1.0	False	-1.6419030890806776	-0.8178299924941669	-1.2298665407874223
testAG	grad01_avg	500	69.67121464644643	70.14580038563447	-0.47458573918804764	-3.5916532285785436	0.9998194380621337	1.0	False	-1.0466723557029287	-0.30646849258437814	-0.6765704241436534
testAG	grad01_max	500	69.42190501610777	70.14580038563447	-0.7238953695267029	-5.433567987723112	0.9999999567474215	1.0	False	-1.4051438990750924	-0.658829611946255	-1.0319867555106736
testAG	gradient_conf_avg	500	69.57898958118008	70.14580038563447	-0.5668108044543899	-4.22305862878986	0.9999856755473646	1.0	False	-1.1839810777309263	-0.4321122631056838	-0.808046670418305
testAG	gradient_conf_max	500	69.64274146616421	70.14580038563447	-0.5030589194702622	-3.816863343252148	0.9999239279254672	1.0	False	-1.0863207209964623	-0.3480029782261251	-0.7171618496112937
testAG	gradient_input_avg	500	69.60922976380755	70.14580038563447	-0.5365706218269263	-3.943383864652343	0.9999540835152747	1.0	False	-1.1460537127594561	-0.38381869265061425	-0.7649362027050353
testAG	gradient_input_max	500	69.84034668991025	70.14580038563447	-0.3054536957242215	-2.162779249585763	0.984483778522031	1.0	False	-0.8310353655069165	-0.03987549172175643	-0.4354554286143365
testAG	model_grad_avg	500	69.47033762810882	70.14580038563447	-0.675462757525629	-5.156966450604468	0.9999998187196274	1.0	False	-1.3298077178772374	-0.5960745268535835	-0.9629411223654105
testAG	model_grad_max	500	69.9360538560247	70.14580038563447	-0.20974652960976972	-1.5581315395197417	0.940081980423147	1.0	False	-0.6760588299415138	0.07802864579174441	-0.29901509207488464
testAG	qbc	500	70.46702047706489	70.14580038563447	0.3212200914304182	2.7887915054074295	0.0027463153873327987	0.032955784647993584	True	0.13531468401039756	0.780549386723629	0.45793203536701327
testAG	threshold_avg	500	70.64688761653989	70.14580038563447	0.5010872309054104	3.571298599016463	0.0001948109675390714	0.002337731610468857	True	0.32135490734412464	1.1073471051801511	0.7143510062621378
