test	method	n_pairs	mean_method	mean_random	mean_diff	t_stat	p_val	p_adj	reject	ci_lower_rel_pct	ci_upper_rel_pct	mean_diff_rel_pct
test	feature_eucl	500	67.45870679903913	67.70522552172696	-0.24651872268780448	-2.5277446158190013	0.9941063331269449	1.0	False	-0.6471129615743766	-0.08109884420033524	-0.36410590288735595
test	grad01_avg	500	67.54983934062246	67.70522552172696	-0.1553861811044978	-1.6740714710728644	0.9526284101079112	1.0	False	-0.4988551932960118	0.039847251421175074	-0.2295039709374184
test	grad01_max	500	67.39291556588151	67.70522552172696	-0.3123099558454256	-3.3394980658431628	0.9995489468125429	1.0	False	-0.7326635449125407	-0.18989436236509985	-0.4612789536388202
test	gradient_conf_avg	500	67.66513787966028	67.70522552172696	-0.04008764206667136	-0.45316672662277724	0.6746871629348148	1.0	False	-0.31591332625766094	0.19749516353015617	-0.059209081363752386
test	gradient_conf_max	500	67.57691806264803	67.70522552172696	-0.12830745907889976	-1.5167628595248164	0.9350201036627552	1.0	False	-0.43498818668967054	0.05597029526347557	-0.18950894571309748
test	gradient_input_avg	500	67.23670653465291	67.70522552172696	-0.46851898707403405	-4.782180374815131	0.9999988570330495	1.0	False	-0.9763014979711963	-0.40769503542395163	-0.691998266697574
test	gradient_input_max	500	67.48664712167202	67.70522552172696	-0.21857840005493084	-2.341313944264126	0.990195680245921	1.0	False	-0.5937502399668366	-0.051926362896816534	-0.3228383014318265
test	model_grad_avg	500	67.27866391881244	67.70522552172696	-0.42656160291450435	-4.556559538616622	0.9999967271561473	1.0	False	-0.901687322402077	-0.35836786426181944	-0.6300275933319482
test	model_grad_max	500	67.62445212675188	67.70522552172696	-0.08077339497507334	-0.8867851927024161	0.8121891285715086	1.0	False	-0.38362182961710223	0.14501869565618591	-0.11930156698045816
test	qbc	500	68.10487976063762	67.70522552172696	0.3996542389106615	5.941663322156596	2.6493479559329574e-09	3.179217547119549e-08	True	0.39509594407580123	0.7854753806069897	0.5902856623413955
test	threshold_avg	500	68.55376776047333	67.70522552172696	0.8485422387463976	9.428428626884873	7.813775794302151e-20	9.37653095316258e-19	True	0.99212430485773	1.5144539753493007	1.253289140103515
test	threshold_max	500	68.42941409407021	67.70522552172696	0.7241885723432616	8.367441727984119	2.9753074054184044e-16	3.570368886502086e-15	True	0.8184662429433076	1.320773577211684	1.0696199100774957
testAB	feature_eucl	500	71.48688100489947	71.9892620456409	-0.5023810407414235	-8.812243642582898	1.0	1.0	False	-0.8534455527538936	-0.5422654921042022	-0.6978555224290478
testAB	grad01_avg	500	71.3973934344205	71.9892620456409	-0.5918686112204209	-11.104980465480965	1.0	1.0	False	-0.9676220008412203	-0.6767027064885439	-0.8221623536648822
testAB	grad01_max	500	71.19771139721739	71.9892620456409	-0.791550648423523	-14.629175133021889	1.0	1.0	False	-1.2472104332830671	-0.9518693348125778	-1.0995398840478223
testAB	gradient_conf_avg	500	71.4346432251454	71.9892620456409	-0.5546188204955158	-10.868042713836475	1.0	1.0	False	-0.9096954580340048	-0.6311421745114983	-0.7704188162727515
testAB	gradient_conf_max	500	71.29956311305881	71.9892620456409	-0.6896989325820949	-13.508726230598793	1.0	1.0	False	-1.0973994685685913	-0.8187166659316587	-0.9580580672501249
testAB	gradient_input_avg	500	71.33864925909816	71.9892620456409	-0.6506127865427281	-11.51928149254471	1.0	1.0	False	-1.0579096431167092	-0.7496176687488916	-0.9037636559328004
testAB	gradient_input_max	500	71.62186599231994	71.9892620456409	-0.3673960533209627	-6.860552902704172	0.9999999999898059	1.0	False	-0.6565023022535001	-0.3641945152469629	-0.5103484087502316
testAB	model_grad_avg	500	71.09232836897915	71.9892620456409	-0.8969336766617484	-16.327402852111323	1.0	1.0	False	-1.3958534776631237	-1.096000588275477	-1.2459270329693006
testAB	model_grad_max	500	71.45853558068353	71.9892620456409	-0.5307264649573755	-9.762650534739494	1.0	1.0	False	-0.8855972805924033	-0.588862798247958	-0.7372300394201806
testAB	qbc	500	72.60356873617523	71.9892620456409	0.6143066905343247	15.373494954257017	3.040503738201213e-44	3.648604485841456e-43	True	0.7442754803856374	0.9623865219136966	0.8533310011496671
testAB	threshold_avg	500	72.68329297740671	71.9892620456409	0.6940309317657939	13.23123850198217	9.054001886581565e-35	1.0864802263897878e-33	True	0.8209183796413371	1.107232880822428	0.9640756302318825
testAB	threshold_max	500	72.58571438742933	71.9892620456409	0.5964523417884179	11.636564775165024	3.70417908907693e-28	4.445014906892316e-27	True	0.6886398190145689	0.9684193724250364	0.8285295957198027
testAG	feature_eucl	500	72.61706554262994	73.3451129105724	-0.728047367942432	-8.541988656864085	0.9999999999999999	1.0	False	-1.2209462412697563	-0.7643185952030414	-0.9926324182363989
testAG	grad01_avg	500	72.88414245246523	73.3451129105724	-0.4609704581071743	-5.71280315445159	0.9999999904390422	1.0	False	-0.8446452006686991	-0.41234504670939803	-0.6284951236890485
testAG	grad01_max	500	72.7230730157092	73.3451129105724	-0.6220398948631871	-7.6901397755145275	0.9999999999999606	1.0	False	-1.0647783626000173	-0.6314216163177943	-0.8480999894589059
testAG	gradient_conf_avg	500	72.8461513347906	73.3451129105724	-0.49896157578177586	-6.316147478902392	0.9999999997029981	1.0	False	-0.8919078496998896	-0.4686778961838081	-0.6802928729418489
testAG	gradient_conf_max	500	72.77237596429293	73.3451129105724	-0.5727369462794506	-7.638637442766124	0.9999999999999435	1.0	False	-0.9817290434615408	-0.5800299437467069	-0.7808794936041239
testAG	gradient_input_avg	500	72.78691373296056	73.3451129105724	-0.5581991776118373	-6.639560741658288	0.9999999999588437	1.0	False	-0.9862651980636578	-0.535851696875024	-0.7610584474693409
testAG	gradient_input_max	500	73.05151356882384	73.3451129105724	-0.2935993417485618	-3.6990661931781874	0.9998797840217695	1.0	False	-0.6129137491249798	-0.18768312801539377	-0.4002984385701868
testAG	model_grad_avg	500	72.6898635059816	73.3451129105724	-0.6552494045907976	-8.169565282388527	0.9999999999999988	1.0	False	-1.10823033581766	-0.6785264870662983	-0.8933784114419792
testAG	model_grad_max	500	73.09374669193035	73.3451129105724	-0.25136621864203773	-3.2427595872582606	0.9993684959353134	1.0	False	-0.55036313767144	-0.13507099329382663	-0.3427170654826333
testAG	qbc	500	73.8082347127604	73.3451129105724	0.4631218021880145	7.903301590781601	8.758796644118227e-15	1.0510555972941873e-13	True	0.4744577347267698	0.7883988723731081	0.631428303549939
testAG	threshold_avg	500	73.97358698390983	73.3451129105724	0.6284740733374573	8.0011942089997	4.343099204378383e-15	5.2117190452540595e-14	True	0.6464635557669652	1.067281364371716	0.8568724600693406
testAG	threshold_max	500	73.9048682365917	73.3451129105724	0.5597553260193033	7.4257588631800795	2.442544522721106e-13	2.931053427265327e-12	True	0.5612556567108603	0.9651045977257156	0.7631801272182879
