test	method	n_pairs	mean_method	mean_random	mean_diff	t_stat	p_val	p_adj	reject	ci_lower_rel_pct	ci_upper_rel_pct	mean_diff_rel_pct
test	feature_eucl	500	70.77822051273873	71.03142685510565	-0.2532063423669342	-1.9971474614685125	0.9768241294879518	1.0	False	-0.7071554301354264	-0.005786301651660938	-0.3564708658935436
test	grad01_avg	500	70.76672434348058	71.03142685510565	-0.26470251162507946	-2.1870178257916613	0.9853976424061874	1.0	False	-0.7074342852406384	-0.03787669426435213	-0.37265548975249535
test	grad01_max	500	70.65903800875692	71.03142685510565	-0.37238884634874025	-2.9792713901237025	0.9984849387365542	1.0	False	-0.8699906607549256	-0.17852789739923433	-0.5242592790770799
test	gradient_conf_avg	500	70.88382402696574	71.03142685510565	-0.14760282813992331	-1.2092191672455872	0.8864243660726294	1.0	False	-0.545429974528888	0.12983131721622326	-0.20779932865633235
test	gradient_conf_max	500	70.8316779621504	71.03142685510565	-0.19974889295526396	-1.6575817909792916	0.9509847969564628	1.0	False	-0.6145321827690574	0.0521081915891414	-0.2812119955899581
test	gradient_input_avg	500	70.60208273498648	71.03142685510565	-0.429344120119163	-3.484230135529031	0.999731495022299	1.0	False	-0.945282744621353	-0.26360222116982	-0.6044424828955866
test	gradient_input_max	500	70.73449852362529	71.03142685510565	-0.29692833148036263	-2.3471849781011307	0.9903471133592683	1.0	False	-0.7679340237286283	-0.06811375012802134	-0.4180238869283249
test	model_grad_avg	500	70.57382729940296	71.03142685510565	-0.4575995557026967	-3.8414644835802134	0.9999309661272265	1.0	False	-0.9737103052986421	-0.31473222208050505	-0.6442212636895736
test	model_grad_max	500	70.70598628040135	71.03142685510565	-0.32544057470430776	-2.7193445388494344	0.9966154430634689	1.0	False	-0.789188348296419	-0.12714006889323357	-0.45816420859482637
test	qbc	500	71.34935927282777	71.03142685510565	0.31793241772211844	3.005111450343892	0.0013941996024904384	0.016730395229885262	True	0.1549589072542674	0.7402291293612911	0.4475940183077793
test	threshold_avg	500	71.77211678173475	71.03142685510565	0.7406899266290711	5.91713294638046	3.0460584214414074e-09	3.655270105729689e-08	True	0.696523628417665	1.3890037484713753	1.0427636884445202
test	threshold_max	500	71.7545538047018	71.03142685510565	0.7231269495961464	6.038509329932955	1.520175415431833e-09	1.8242104985181995e-08	True	0.6868024441055801	1.3492736467526987	1.0180380454291396
testAB	feature_eucl	500	73.9028122237018	74.49058262748768	-0.5877704037858957	-8.066426842781354	0.9999999999999972	1.0	False	-0.9812420206347152	-0.59686458842543	-0.7890533045300727
testAB	grad01_avg	500	73.72651344451093	74.49058262748768	-0.7640691829767583	-10.448284786804777	1.0	1.0	False	-1.2186067025197902	-0.8328450542686174	-1.025725878394204
testAB	grad01_max	500	73.51841461007241	74.49058262748768	-0.9721680174152897	-13.319338467157316	1.0	1.0	False	-1.49760147908903	-1.1125754939570935	-1.3050884865230616
testAB	gradient_conf_avg	500	73.78469802330109	74.49058262748768	-0.7058846041866128	-9.684359037543935	1.0	1.0	False	-1.1398649471967288	-0.7553668506711942	-0.9476158989339616
testAB	gradient_conf_max	500	73.66939854642433	74.49058262748768	-0.821184081063363	-11.494575107260214	1.0	1.0	False	-1.2908293956623471	-0.9139703309552801	-1.1023998633088137
testAB	gradient_input_avg	500	73.85839080722998	74.49058262748768	-0.6321918202577044	-8.359171357908721	0.9999999999999997	1.0	False	-1.0481612350694274	-0.6492125750379995	-0.8486869050537135
testAB	gradient_input_max	500	74.09560387039926	74.49058262748768	-0.3949787570884497	-5.429221523037438	0.9999999557411485	1.0	False	-0.7221233176190253	-0.3383563917790297	-0.5302398546990275
testAB	model_grad_avg	500	73.47128477822291	74.49058262748768	-1.0192978492647933	-14.141450738177923	1.0	1.0	False	-1.5584695583359085	-1.1782464487386914	-1.3683580035373
testAB	model_grad_max	500	73.70855057264231	74.49058262748768	-0.7820320548453804	-11.033157445932213	1.0	1.0	False	-1.2367904397106473	-0.8628898883548862	-1.0498401640327668
testAB	qbc	500	75.05148057722187	74.49058262748768	0.5608979497341874	8.853798431125059	7.403674860248305e-18	8.884409832297966e-17	True	0.5858863610384645	0.9200703114690509	0.7529783362537577
testAB	threshold_avg	500	75.17033568115964	74.49058262748768	0.6797530536719624	8.923536964065265	4.306993300130777e-18	5.1683919601569325e-17	True	0.7116191007827108	1.1134520147736533	0.9125355577781821
testAB	threshold_max	500	75.11869526689824	74.49058262748768	0.6281126394105438	9.063521506225209	1.4388756687930454e-18	1.7266508025516546e-17	True	0.6604252211166471	1.0259963834816361	0.8432108022991415
testAG	feature_eucl	500	76.01970725009532	76.81235117293342	-0.7926439228380808	-7.066452906443899	0.9999999999973109	1.0	False	-1.3188342440273035	-0.7450107255233407	-1.0319224847753221
testAG	grad01_avg	500	76.23639686486989	76.81235117293342	-0.5759543080635288	-5.444387208298093	0.999999959156709	1.0	False	-1.0204092735159682	-0.4792305611424958	-0.749819917329232
testAG	grad01_max	500	76.1375228676253	76.81235117293342	-0.6748283053081232	-6.219901358206029	0.9999999994733599	1.0	False	-1.1560532140528665	-0.6010295857922561	-0.8785413999225613
testAG	gradient_conf_avg	500	76.2016359663787	76.81235117293342	-0.610715206554724	-5.595947894047369	0.999999981881372	1.0	False	-1.0742236622273784	-0.515924789757316	-0.7950742259923472
testAG	gradient_conf_max	500	76.15767301394192	76.81235117293342	-0.654678158991495	-6.1472353631794014	0.9999999991922591	1.0	False	-1.1247163464910692	-0.5799005516886748	-0.8523084490898721
testAG	gradient_input_avg	500	76.33429719487611	76.81235117293342	-0.4780539780573033	-4.491692635630665	0.9999956062054377	1.0	False	-0.8945976605631208	-0.3501343929604707	-0.6223660267617958
testAG	gradient_input_max	500	76.50135097884	76.81235117293342	-0.3110001940934245	-2.8582541193744917	0.9977810597793941	1.0	False	-0.6831947813699929	-0.12657132875270435	-0.4048830550613487
testAG	model_grad_avg	500	76.11774979044834	76.81235117293342	-0.694601382485066	-6.8493799332107335	0.9999999999890512	1.0	False	-1.1636751506901415	-0.6448917578302283	-0.9042834542601849
testAG	model_grad_max	500	76.40935118230942	76.81235117293342	-0.402999990623999	-3.877953145050552	0.9999402816975419	1.0	False	-0.7904669368195772	-0.2588434526429061	-0.5246551947312417
testAG	qbc	500	77.22089404397884	76.81235117293342	0.4085428710454161	4.489169749449339	4.4440973349358564e-06	5.3329168019230274e-05	True	0.2990925977153553	0.7646500551442945	0.5318713264298248
testAG	threshold_avg	500	77.40833230784011	76.81235117293342	0.5959811349067081	5.449553231841595	3.973937270460864e-08	4.768724724553036e-07	True	0.4961595833164136	1.0556250601842938	0.7758923217503537
testAG	threshold_max	500	77.45179969431307	76.81235117293342	0.6394485213796577	6.1732650001806935	6.933226753815276e-10	8.31987210457833e-09	True	0.5675323404060967	1.0974304204395366	0.8324813804228165
