test	method	n_pairs	mean_method	mean_random	mean_diff	t_stat	p_val	p_adj	reject	ci_lower_rel_pct	ci_upper_rel_pct	mean_diff_rel_pct
test	feature_eucl	500	67.97992505658789	68.26296624031407	-0.28304118372616965	-2.1063897487150722	0.9821653779876461	1.0	False	-0.801381948597959	-0.027885220161590035	-0.41463358437977454
test	grad01_avg	500	68.01485494090277	68.26296624031407	-0.2481112994112812	-1.895565009568077	0.9707024230186536	1.0	False	-0.7401898592373005	0.013261883274972353	-0.363463987981164
test	grad01_max	500	67.87915341828104	68.26296624031407	-0.3838128220330127	-2.8413856726396167	0.9976622260935222	1.0	False	-0.9510389438777987	-0.17347363789848028	-0.5622562908881394
test	gradient_conf_avg	500	68.18569528265536	68.26296624031407	-0.07727095765868439	-0.5648324435513408	0.713779218750332	1.0	False	-0.5069402850440191	0.2805482545932519	-0.11319601522538361
test	gradient_conf_max	500	68.11507086241062	68.26296624031407	-0.1478953779034304	-1.1299093913053844	0.8704713809122231	1.0	False	-0.5933839444250987	0.16007321666452318	-0.21665536388028772
test	gradient_input_avg	500	67.7650153409356	68.26296624031407	-0.49795089937845155	-3.553406965988544	0.9997918004236124	1.0	False	-1.1327885325268814	-0.32613107441037636	-0.7294598034686289
test	gradient_input_max	500	68.02890219593579	68.26296624031407	-0.23406404437825376	-1.6958565631104994	0.9547316039761222	1.0	False	-0.7401351698303703	0.05436349224387083	-0.3428858387932497
test	model_grad_avg	500	67.83128054049263	68.26296624031407	-0.4316856998214238	-3.132040835345791	0.9990810579686153	1.0	False	-1.0290823884842875	-0.23569036780558844	-0.6323863781449378
test	model_grad_max	500	68.10704769040784	68.26296624031407	-0.15591854990620393	-1.1885479029956458	0.8824085246481702	1.0	False	-0.6059797403121358	0.1491623516352192	-0.22840869433845828
test	qbc	500	68.71103192156936	68.26296624031407	0.4480656812553167	3.8566113611919146	6.501140898156601e-05	0.0007801369077787921	True	0.3219917077555328	0.9907718767565696	0.6563817922560513
test	threshold_avg	500	69.15689373338562	68.26296624031407	0.8939274930715629	6.80043086560477	1.4955185460995884e-11	1.794622255319506e-10	True	0.9311940474660779	1.687876122806236	1.3095350851361571
test	threshold_max	500	69.0737985591237	68.26296624031407	0.8108323188096606	5.84604491629244	4.551887286734343e-09	5.4622647440812114e-08	True	0.7886107568394803	1.587003323437058	1.1878070401382692
testAB	feature_eucl	500	71.92181025424641	72.47836718864804	-0.5565569344016286	-6.31281052001281	0.999999999697005	1.0	False	-1.0068846652207	-0.5289030628692881	-0.7678938640449942
testAB	grad01_avg	500	71.80173259207979	72.47836718864804	-0.6766345965682478	-7.688697153667783	0.9999999999999601	1.0	False	-1.1721266490465372	-0.695008670950644	-0.9335676599985906
testAB	grad01_max	500	71.62411959286756	72.47836718864804	-0.8542475957804907	-9.75299737631565	1.0	1.0	False	-1.4160566370245085	-0.9411918190756112	-1.1786242280500598
testAB	gradient_conf_avg	500	71.90417348768567	72.47836718864804	-0.5741937009623752	-6.924653735039327	0.9999999999932452	1.0	False	-1.0170061656138394	-0.5674492332442868	-0.792227699429063
testAB	gradient_conf_max	500	71.7748109881455	72.47836718864804	-0.7035562005025335	-8.377331074547879	0.9999999999999997	1.0	False	-1.1983723702121882	-0.7430516099150254	-0.9707119900636068
testAB	gradient_input_avg	500	71.84619664735219	72.47836718864804	-0.6321705412958437	-7.19767742251931	0.9999999999988681	1.0	False	-1.110306915778416	-0.6341323309016824	-0.8722196233400491
testAB	gradient_input_max	500	72.11241505143282	72.47836718864804	-0.36595213721520553	-4.196230113849199	0.9999839354255481	1.0	False	-0.7413186822738979	-0.26850576993181624	-0.5049122261028571
testAB	model_grad_avg	500	71.55595948765551	72.47836718864804	-0.922407700992508	-10.492028137471179	1.0	1.0	False	-1.5109847586175336	-1.034347695110758	-1.2726662268641458
testAB	model_grad_max	500	71.87550299116786	72.47836718864804	-0.6028641974801835	-6.981375667555208	0.9999999999953187	1.0	False	-1.065869605897857	-0.5977004243458912	-0.8317850151218741
